area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,locality,id,expendable_amenity_count,unclassify_amenity_count
1000.0,Apartment,Commercial,1.0,2.0,32000.0,Rent,Badda,pbazaar-1241,0,0
600.0,Apartment,Commercial,1.0,2.0,13000.0,Rent,Banashree,pbazaar-1256,0,0
1250.0,Apartment,Commercial,3.0,3.0,60.0,Rent,Shyamoli,pbazaar-1284,0,0
1400.0,Apartment,Commercial,4.0,3.0,45000.0,Rent,DOHS Baridhara,pbazaar-1289,0,0
1600.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,Mohammadpur ,pbazaar-1291,0,0
1130.0,Apartment,Commercial,4.0,3.0,25.0,Rent,Daskhinkhan,pbazaar-1306,0,0
650.0,Apartment,Commercial,2.0,2.0,16500.0,Rent,Nikunja,pbazaar-1308,0,0
600.0,Apartment,Commercial,1.0,2.0,12500.0,Rent,Nikunja,pbazaar-1310,0,0
1700.0,Apartment,Commercial,4.0,3.0,36000.0,Rent,Nikunja,pbazaar-1311,0,0
600.0,Apartment,Commercial,3.0,3.0,20000.0,Rent,Nikunja,pbazaar-1312,0,0
1200.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Nikunja,pbazaar-1314,0,0
1500.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Badda,pbazaar-1327,0,0
1500.0,Apartment,Commercial,4.0,3.0,45000.0,Rent,Dhanmondi,pbazaar-1331,0,0
1500.0,Apartment,Commercial,3.0,4.0,36000.0,Rent,DOHS Mirpur,pbazaar-1332,0,0
2200.0,Apartment,Commercial,4.0,4.0,40000.0,Rent,DOHS Mirpur,pbazaar-1333,0,0
700.0,Apartment,Commercial,2.0,2.0,18000.0,Rent,Banglamotor,pbazaar-1335,0,0
800.0,Apartment,Commercial,2.0,2.0,20000.0,Rent,Banashree,pbazaar-1350,0,0
800.0,Apartment,Commercial,2.0,2.0,22000.0,Rent,DOHS Mohakhali,pbazaar-1352,0,0
550.0,Apartment,Commercial,1.0,2.0,40000.0,Rent,Lalmatia,pbazaar-1355,0,0
750.0,Apartment,Commercial,3.0,3.0,15500.0,Rent,Banashree,pbazaar-1358,0,0
1250.0,Apartment,Commercial,4.0,3.0,30000.0,Rent,Banashree,pbazaar-1359,0,0
1200.0,Apartment,Commercial,2.0,1.0,45000.0,Rent,Badda,pbazaar-1361,0,0
1300.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Bashundhara RA,pbazaar-1362,0,0
700.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,DOHS Banani,pbazaar-1374,0,0
1200.0,Apartment,Commercial,4.0,3.0,25000.0,Rent,Shyamoli,pbazaar-1376,0,0
1200.0,Apartment,Commercial,3.0,3.0,30000.0,Rent,Shyamoli,pbazaar-1377,0,0
1280.0,Apartment,Commercial,3.0,3.0,20000.0,Rent,Adabor,pbazaar-1379,0,0
1400.0,Apartment,Commercial,2.0,3.0,50000.0,Rent,DOHS Mohakhali,pbazaar-1382,0,0
1300.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Niketan,pbazaar-1384,0,0
1000.0,Apartment,Commercial,3.0,2.0,27000.0,Rent,Nikunja,pbazaar-1385,0,0
1362.0,Apartment,Commercial,4.0,3.0,35000.0,Rent,Banashree,pbazaar-1396,0,0
500.0,Apartment,Commercial,1.0,2.0,10000.0,Rent,Sher E Bangla Nagar ,pbazaar-1401,0,0
1300.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Niketan,pbazaar-1406,0,0
1200.0,Apartment,Commercial,4.0,3.0,30000.0,Rent,Badda,pbazaar-1423,0,0
750.0,Apartment,Commercial,2.0,3.0,18000.0,Rent,Mirpur,pbazaar-1426,0,0
400.0,Apartment,Commercial,2.0,2.0,16000.0,Rent,Nikunja,pbazaar-1427,0,0
