area,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,price_per_sft
1800,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","8,334.00৳"
3953,4,4,Space,3rd,Tiled,"Gulshan 2, Dhaka, Bangladesh","22,000.00৳"
2460,3,3,1,4th,3,"Gulshan 2, Dhaka, Bangladesh",Negotiable
1547,2,4,1,1st,2,"Gulshan 1, Dhaka, Bangladesh","12,000.00৳"
1800,2,3,1,Ground,Tiled,"Gulshan 1, Dhaka, Bangladesh","9,000.00৳"
3500,4,4,1,5th,4,"DOHS Banani, Dhaka, Bangladesh","18,500.00৳"
1000,3,3,Space,2nd,1,"Badda, Dhaka, Bangladesh",Negotiable
5250,4,4,1,11th,2,"Gulshan 1, Dhaka, Bangladesh","25,000.00৳"
1310,3,3,Space,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,000.00৳"
1151,2,3,Space,1st,1,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1250,3,3,Space,6th,1,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1550,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1620,2,3,1,3rd,1,"Mirpur, Dhaka, Bangladesh","4,500.00৳"
1550,3,3,Space,2nd,1,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1400,1,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh",Negotiable
1290,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1400,1,3,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh",Negotiable
1300,3,4,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh",Negotiable
3,2,3.32,6,2nd,Room,"Turag, Dhaka, Bangladesh","4,500.00৳"
1975,3,3,Space,1st,Tiled,"Dhanmondi, Dhaka, Bangladesh",Negotiable
1300,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh",Negotiable
1150,2,3,1,5th,Tiled,"Banashree, Dhaka, Bangladesh","5,000.00৳"
8,2040,3.50,8,8th,Space,"Kalabagan, Dhaka, Bangladesh",Negotiable
