area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
2130,2,2,3,1,10th,,"Banani, Dhaka, Bangladesh",1,"11,738.00৳",Apartment
2335,3,3,3,,3rd,,"Banani, Dhaka, Bangladesh",1,"16,500.00৳",Apartment
2380,3,2,3,,10th,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment
1635,2,3,3,1,4th,,"Kalabagan, Dhaka, Bangladesh",1,"10,704.00৳",Apartment
2075,3,3,3,,5th,,"Banani, Dhaka, Bangladesh",1,"9,000.00৳",Apartment
2600,3,3,4,1,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"12,500.00৳",Apartment
2000,3,3,3,,3rd,,"Niketan, Dhaka, Bangladesh",1,"12,000.00৳",Apartment
2150,3,3,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,977.00৳",Apartment
2315,2,5,4,1,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,500.00৳",Apartment
2220,2,4,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",,"9,000.00৳",Apartment
1800,2,1,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,388.00৳",Apartment
2165,2,5,4,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment
2290,2,4,3,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
1250,2,1,3,1,1st,,"Niketan, Dhaka, Bangladesh",,"7,500.00৳",Apartment
2257,4,4,4,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,500.00৳",Apartment
1850,2,3,3,1,11th,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,60,00,000.00৳",Apartment
1200,2,,3,1,4th,,"Niketan, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1120,2,2,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"9,375.00৳",Apartment
1980,3,3,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,200.00৳",Apartment
1850,2,2,3,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,190.00৳",Apartment
1608,2,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"85,00,000.00৳",Apartment
2200,2,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1750,3,3,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",,"6,857.00৳",Apartment
2510,4,4,4,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,600.00৳",Apartment
1960,2,3,4,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,910.00৳",Apartment
2508,4,3,4,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
2075,3,3,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,100.00৳",Apartment
1750,2,2,3,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"90,00,000.00৳",Apartment
2100,3,2,4,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
2000,2,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,750.00৳",Apartment
1900,2,,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
2100,1,4,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",,"7,500.00৳",Apartment
4,2,,2,,7th,,"Mohammadpur , Dhaka, Bangladesh",,"43,00,000.00৳",Apartment
2162,3,4,4,,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment
1938,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,200.00৳",Apartment
