area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
MULTILINK,Ground,"Tongi, Dhaka, Bangladesh",Ready,,"4,200.00৳",Commercial Space,70000,,
4950,4th,"Karwan Bazar, Dhaka, Bangladesh",Jahangir Tower ,,Negotiable,Commercial Space,1,,
1,6th,"Badda, Dhaka, Bangladesh",Ranks Business Centre,,"12,100.00৳",Commercial Space,2775,,
1575,3rd,"Malibagh, Dhaka, Bangladesh",1,,70.00৳,Commercial Space,8,,
4950,4th,"Karwan Bazar, Dhaka, Bangladesh",1,,Negotiable,Commercial Space,1,,
5500,5th,"Wari, Dhaka, Bangladesh",5,,"55,000.00৳",Commercial Space,5,,
1100,14th,"Kakrail, Dhaka, Bangladesh",Rupayan korim tower,,"18,181.00৳",Commercial Space,14,,
2075,6th,"Uttara West, Dhaka, Bangladesh",1,,"18,000.00৳",Commercial Space,9,,
2270,7th,"Paltan, Dhaka, Bangladesh",1,,"11,000.00৳",Commercial Space,12,,
1750,5th,"Dhanmondi, Dhaka, Bangladesh",1,,"25,000.00৳",Commercial Space,5,,
7848,Ground,"Bogura Sadar, Bogura, Bangladesh",Hayes & Haier Showroom Building,,"6,880.00৳",Commercial Space,4,,
5000,2nd,"Gulshan 2, Dhaka, Bangladesh",Green Meher Tower,,"24,000.00৳",Commercial Space,7,,
4000,1st,"Banglamotor, Dhaka, Bangladesh",1,,"40,000.00৳",Commercial Space,10,,
5300,2nd,"Badda, Dhaka, Bangladesh",2,,"20,000.00৳",Commercial Space,6,,
3500,15th,"Dhanmondi, Dhaka, Bangladesh",1,,"15,000.00৳",Commercial Space,15,,
2681,4th,"Shyamoli, Dhaka, Bangladesh",2,,"15,000.00৳",Commercial Space,5,,
900,2nd,"New Market, Dhaka, Bangladesh",Amena Bhaban Market,,56.00৳,Commercial Space,1,,
1760,9th,"Dhanmondi, Dhaka, Bangladesh",1,,"22,000.00৳",Commercial Space,14,,
2600,12th,"Banglamotor, Dhaka, Bangladesh",1,,"6,900.00৳",Commercial Space,18,,
1000,6th,"Mirpur, Dhaka, Bangladesh",নাই ,,"5,500.00৳",Commercial Space,6,,
4000,6th,"Uttara East, Dhaka, Bangladesh",1,,Negotiable,Commercial Space,12,,
1150,6th,"Banglamotor, Dhaka, Bangladesh",1,,"15,000.00৳",Commercial Space,10,,
Ready,7th,"Ramna, Dhaka, Bangladesh",Finished,,Negotiable,Commercial Space,4257,,
5000,4th,"Dhanmondi, Dhaka, Bangladesh",Shoptak Cassiopia,,Negotiable,Commercial Space,6,,
Shamsuddin Complex,Ground,"Mirpur, Dhaka, Bangladesh",Ready,,"20,000.00৳",Commercial Space,2677,,
170,1st,"Chattogram City, Chattogram, Bangladesh",হোসেন স্কয়ার,,"1,000.00৳",Commercial Space,4,,
56000,2nd,"Badda, Dhaka, Bangladesh",1,,"25,000.00৳",Commercial Space,10,,
6500,5th,"Malibagh, Dhaka, Bangladesh",Anarkali Market ,,"2,50,000.00৳",Commercial Space,5,,
2500,15th,"Mirpur, Dhaka, Bangladesh",2,,"1,500.00৳",Commercial Space,15,,
