amenities,area,building_type,location,num_bath_rooms,num_bed_rooms,price,purpose
View##Balcony or Terrace##Flooring##Floor Level##Freehold##View##Balcony or Terrace##Waste Disposal##Flooring##24 Hours Concierge##Floor Level##Storage Areas##CCTV Security##Cleaning Services,"1,050 sqft",Apartment,"Block L, Eastern Housing, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,36 Lakh,For Sale
Floor Level##View##Parking Spaces##: 1##Flooring##Elevators in Building##: 1##Freehold##Floor Level##View##Parking Spaces##: 1##Waste Disposal##Electricity Backup##Flooring##24 Hours Concierge##Balcony or Terrace##Lobby in Building##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,250 sqft",Apartment,"Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,57.5 Lakh,For Sale
Balcony or Terrace##Parking Spaces##: 1##Flooring##Floor Level##Electricity Backup##Balcony or Terrace##Elevators in Building##: 1##Parking Spaces##: 1##Flooring##Floor Level##View##CCTV Security##Maintenance Staff,"1,136 sqft",Apartment,"Turag, Dhaka",3 Beds,3 Beds,75 Lakh,For Sale
Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Electricity Backup##Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Elevators in Building##: 1##Floor Level##CCTV Security##Maintenance Staff,"1,150 sqft",Apartment,"Block B, Hill View R/A, Bayazid, Chattogram",3 Beds,3 Beds,46 Lakh,For Sale
Balcony or Terrace##View##Flooring##Floor Level##Elevators in Building##: 1##Balcony or Terrace##View##Flooring##Floor Level##Broadband Internet,"2,500 sqft",Apartment,"Block A, Hill View R/A, Bayazid, Chattogram",4 Beds,4 Beds,1.22 Crore,For Sale
Floor Level##View##Flooring##Parking Spaces##: 1##Electricity Backup##Floor Level##View##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##Balcony or Terrace##CCTV Security##Maintenance Staff,"1,036 sqft",Apartment,"Turag, Dhaka",3 Beds,3 Beds,80 Lakh,For Sale
Flooring##View##Floor Level##Balcony or Terrace##Flooring##Elevators in Building##: 1##View##Floor Level##Balcony or Terrace##Electricity Backup##CCTV Security##Maintenance Staff,"1,350 sqft",Apartment,"Block B, Hill View R/A, Bayazid, Chattogram",3 Beds,3 Beds,60 Lakh,For Sale
View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Electricity Backup##Waste Disposal##Freehold##24 Hours Concierge##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Lobby in Building##Flooring##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,250 sqft",Apartment,"Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,57.5 Lakh,For Sale
Balcony or Terrace##View##Flooring##Parking Spaces##: 1##Balcony or Terrace##Elevators in Building##: 1##View##Flooring##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security,"1,100 sqft",Apartment,"Sector 4, Uttara, Dhaka",2 Beds,2 Beds,1.25 Crore,For Sale
View##Parking Spaces##: 1##Balcony or Terrace##Flooring##View##Elevators in Building##: 1##Parking Spaces##: 1##Balcony or Terrace##Electricity Backup##Flooring##Floor Level##CCTV Security##Maintenance Staff,"1,580 sqft",Apartment,"Bayazid, Chattogram",3 Beds,3 Beds,76.36 Lakh,For Sale
Balcony or Terrace##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Electricity Backup##Elevators in Building##: 1##Parking Spaces##: 1##Flooring##View##Floor Level##CCTV Security##Maintenance Staff,"1,580 sqft",Apartment,"Bayazid, Chattogram",3 Beds,3 Beds,76.36 Lakh,For Sale
Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##View##Elevators in Building##: 1##Balcony or Terrace##Electricity Backup##CCTV Security##Maintenance Staff,"1,580 sqft",Apartment,"Bayazid, Chattogram",3 Beds,3 Beds,76.36 Lakh,For Sale
View##Flooring##Balcony or Terrace##Parking Spaces##: 1##View##Waste Disposal##Flooring##Elevators in Building##: 1##Balcony or Terrace##Lobby in Building##Electricity Backup##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,"1,430 sqft",Apartment,"Patharghata, Bakalia, Chattogram",3 Beds,3 Beds,79.36 Lakh,For Sale
Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Waste Disposal##Elevators in Building##: 1##Parking Spaces##: 1##Broadband Internet##CCTV Security##Cleaning Services,"1,430 sqft",Apartment,"Patharghata, Bakalia, Chattogram",3 Beds,3 Beds,79.36 Lakh,For Sale
Flooring##Floor Level##View##Balcony or Terrace##Electricity Backup##Flooring##Floor Level##View##Balcony or Terrace##Elevators in Building##: 1##Parking Spaces##: 1##CCTV Security##Maintenance Staff,"1,200 sqft",Apartment,"Sector 3, Uttara, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Parking Spaces##: 1##Floor Level##Elevators in Building##: 1##Service Elevators##Balcony or Terrace##Flooring##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Balcony or Terrace##Parking Spaces##: 1##View##Floor Level##Balcony or Terrace##Elevators in Building##: 1##Service Elevators##Parking Spaces##: 1##View##Floor Level##Flooring##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,574 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,96.57 Lakh,For Sale
View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level##Electricity Backup##Flooring##CCTV Security##Maintenance Staff,"1,200 sqft",Apartment,"Sector 3, Uttara, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
Flooring##View##Floor Level##Balcony or Terrace##Flooring##Elevators in Building##: 1##View##Floor Level##Balcony or Terrace##Electricity Backup##Parking Spaces##: 1##CCTV Security##Maintenance Staff,"1,200 sqft",Apartment,"Sector 3, Uttara, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
Floor Level##Parking Spaces##: 1##Flooring##View##Elevators in Building##: 1##Floor Level##Service Elevators##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Service Elevators##Parking Spaces##: 1##Elevators in Building##: 1##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Elevators in Building##: 1##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Service Elevators##Floor Level##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,574 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,94.44 Lakh,For Sale
View##Floor Level##Flooring##Parking Spaces##: 1##View##Service Elevators##Floor Level##Flooring##Parking Spaces##: 1##Balcony or Terrace##Elevators in Building##: 1##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,915 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,1.15 Crore,For Sale
Balcony or Terrace##View##Flooring##Floor Level##Service Elevators##Balcony or Terrace##View##Flooring##Floor Level##Parking Spaces##: 1##Elevators in Building##: 1##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,915 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,1.15 Crore,For Sale
Flooring##Floor Level##View##Balcony or Terrace##Double Glazed Windows##Flooring##Floor Level##View##Balcony or Terrace##Electricity Backup##Elevators in Building##: 1##Parking Spaces##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"2,300 sqft",Apartment,"Block J, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.95 Crore,For Sale
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Freehold##Parking Spaces##: 1##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,560 sqft",Apartment,"West Agargaon, Agargaon, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
Flooring##View##Floor Level##Balcony or Terrace##Electricity Backup##Flooring##View##Floor Level##Balcony or Terrace##Lobby in Building##Parking Spaces##: 1##Elevators in Building##: 1##Freehold##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,280 sqft",Apartment,"West Agargaon, Agargaon, Dhaka",3 Beds,3 Beds,48 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Freehold##Floor Level##24 Hours Concierge##Electricity Backup##CCTV Security##Maintenance Staff##Cleaning Services,970 sqft,Apartment,"West Agargaon, Agargaon, Dhaka",2 Beds,2 Beds,40 Lakh,For Sale
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Freehold,735 sqft,Apartment,"Tejkunipara, Tejgaon, Dhaka",2 Beds,2 Beds,50 Lakh,For Sale
Flooring##Furnished##Floor Level##View##Electricity Backup##Flooring##Elevators in Building##: 1##Furnished##Freehold##Floor Level##View##Prayer Room##CCTV Security,"1,100 sqft",Apartment,"Shahid Nagar, Bayazid, Chattogram",3 Beds,3 Beds,38.5 Lakh,For Sale
Balcony or Terrace##Parking Spaces##: 1##View##Flooring##Balcony or Terrace##Elevators in Building##: 1##Parking Spaces##: 1##View##Flooring##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,"1,668 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,95 Lakh,For Sale
Floor Level##Balcony or Terrace##Flooring##View##Floor Level##Balcony or Terrace##Elevators in Building##: 1##Flooring##View##Broadband Internet##Maintenance Staff,"1,440 sqft",Apartment,"Block A, Hill View R/A, Bayazid, Chattogram",3 Beds,3 Beds,80 Lakh,For Sale
Parking Spaces##: 1##View##Floor Level##Balcony or Terrace##Freehold##Parking Spaces##: 1##24 Hours Concierge##View##Lobby in Building##Elevators in Building##: 1##Floor Level##Balcony or Terrace##Electricity Backup##Waste Disposal##Flooring##Intercom##Conference Room##Broadband Internet##Lawn or Garden##CCTV Security##Maintenance Staff##Cleaning Services,920 sqft,Apartment,"Section 10, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh,For Sale
Flooring##Parking Spaces##: 1##Balcony or Terrace##Floor Level##Elevators in Building##: 1##Flooring##Parking Spaces##: 1##Balcony or Terrace##Floor Level##View##Lobby in Building##Electricity Backup##Waste Disposal##CCTV Security##Maintenance Staff##Cleaning Services,"1,570 sqft",Apartment,"Nasirabad Properties Residential Area, Khulshi, Chattogram",3 Beds,3 Beds,1.1 Crore,For Sale
Balcony or Terrace##Flooring##Floor Level##View##Elevators in Building##: 1##Waste Disposal##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Floor Level##View##Parking Spaces##: 1##CCTV Security##Maintenance Staff##Cleaning Services,"1,600 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.1 Crore,For Sale
Floor Level##Flooring##View##Parking Spaces##: 1##Floor Level##Flooring##View##Parking Spaces##: 1##Electricity Backup##Waste Disposal##Elevators in Building##: 1##Balcony or Terrace##Lobby in Building##Freehold##24 Hours Concierge##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,200 sqft",Apartment,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
View##Balcony or Terrace##Floor Level##Flooring##Double Glazed Windows##Electricity Backup##Waste Disposal##Freehold##View##Balcony or Terrace##Floor Level##Flooring##Parking Spaces##: 1##CCTV Security,"1,900 sqft",Apartment,"Nasirabad Housing Society, Muradpur, Chattogram",3 Beds,3 Beds,1.43 Crore,For Sale
View##Flooring##Floor Level##Balcony or Terrace##View##Flooring##Elevators in Building##: 1##Floor Level##Electricity Backup##Balcony or Terrace##Waste Disposal##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,645 sqft",Apartment,"Road No 2, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,1.25 Crore,For Sale
Flooring##View##Balcony or Terrace##Parking Spaces##: 1##Service Elevators##Flooring##View##Elevators in Building##: 1##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Floor Level##View##Flooring##Elevators in Building##: 2##Elevators in Building##: 2##Floor Level##View##Electricity Backup##Flooring##Broadband Internet,"1,320 sqft",Apartment,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",3 Beds,3 Beds,70 Lakh,For Sale
Flooring##View##Balcony or Terrace##Parking Spaces##: 1##Elevators in Building##: 1##Flooring##View##Balcony or Terrace##Service Elevators##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Parking Spaces##: 1##View##Floor Level##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##View##Elevators in Building##: 1##24 Hours Concierge##Floor Level##Balcony or Terrace##Electricity Backup##Waste Disposal##Flooring##Freehold##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,180 sqft",Apartment,"Section 10, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh,For Sale
Balcony or Terrace##Floor Level##Parking Spaces##: 1##View##Balcony or Terrace##Floor Level##Parking Spaces##: 1##View##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 1##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,645 sqft",Apartment,"Road No 2, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,1.25 Crore,For Sale
View##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Elevators in Building##: 1##View##Service Elevators##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Flooring##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
Flooring##View##Balcony or Terrace##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Elevators in Building##: 1##Service Elevators##Parking Spaces##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Floor Level##View##Flooring##Service Elevators##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Elevators in Building##: 1##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,665 sqft",Apartment,"Sholokbahar, Chattogram",3 Beds,3 Beds,70 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Elevators in Building##: 1##Service Elevators##Floor Level##Parking Spaces##: 1##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,162 sqft",Apartment,"Khulshi Green Housing Society, Khulshi, Chattogram",3 Beds,3 Beds,69.72 Lakh,For Sale
View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Electricity Backup##Waste Disposal##Elevators in Building##: 1##Floor Level##Lobby in Building##Flooring##Parking Spaces##: 1##Broadband Internet##CCTV Security##Cleaning Services,"1,426 sqft",Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,71.3 Lakh,For Sale
View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Waste Disposal##Parking Spaces##: 1##24 Hours Concierge##Elevators in Building##: 1##Freehold##Electricity Backup##Floor Level##Flooring##Lobby in Building##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,180 sqft",Apartment,"Section 10, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##Freehold##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 1##24 Hours Concierge##Floor Level##Conference Room##Intercom##Broadband Internet##Lawn or Garden##CCTV Security##Maintenance Staff##Cleaning Services,980 sqft,Apartment,"Section 10, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh,For Sale
Balcony or Terrace##Parking Spaces##: 2##View##Flooring##Waste Disposal##Balcony or Terrace##Electricity Backup##Parking Spaces##: 2##24 Hours Concierge##Lobby in Building##View##Flooring##Elevators in Building##: 2##Floor Level##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,350 sqft",Apartment,"Lake View Society, Foys Lake, 9 No. North Pahartali Ward, Chattogram",3 Beds,3 Beds,60 Lakh,For Sale
View##Flooring##Balcony or Terrace##Floor Level##Electricity Backup##View##Flooring##Elevators in Building##: 1##Balcony or Terrace##Floor Level##CCTV Security##Maintenance Staff,"1,110 sqft",Apartment,"Bayazid, Chattogram",3 Beds,3 Beds,45 Lakh,For Sale
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Flooring##Elevators in Building##: 1##Floor Level##Broadband Internet,"1,280 sqft",Apartment,"Haji Muzaffar Ahmed Chowdhury Sharok, Muzaffarnagar Residential Area, Polytechnic, Bayazid, Chattogram",3 Beds,3 Beds,48 Lakh,For Sale
Floor Level##Balcony or Terrace##View##Flooring##Floor Level##Balcony or Terrace##View##Flooring##Elevators in Building##: 1##Broadband Internet,"1,270 sqft",Apartment,"Haji Muzaffar Ahmed Chowdhury Sharok, Muzaffarnagar Residential Area, Polytechnic, Bayazid, Chattogram",3 Beds,3 Beds,48 Lakh,For Sale
View##Parking Spaces##: 1##Floor Level##Balcony or Terrace##View##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Flooring##Broadband Internet,"1,280 sqft",Apartment,"Haji Muzaffar Ahmed Chowdhury Sharok, Muzaffarnagar Residential Area, Polytechnic, Bayazid, Chattogram",3 Beds,3 Beds,55 Lakh,For Sale
View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##Elevators in Building##: 1##Broadband Internet,"1,280 sqft",Apartment,"Haji Muzaffar Ahmed Chowdhury Sharok, Muzaffarnagar Residential Area, Polytechnic, Bayazid, Chattogram",3 Beds,3 Beds,48 Lakh,For Sale
Parking Spaces##: 1##Balcony or Terrace##Flooring##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Waste Disposal##Electricity Backup##Elevators in Building##: 1##Flooring##Lobby in Building##Floor Level##View##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,950 sqft,Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",2 Beds,2 Beds,35 Lakh,For Sale
Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Waste Disposal##Flooring##Floor Level##View##Lobby in Building##Electricity Backup##Elevators in Building##: 1##Parking Spaces##: 1##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,975 sqft,Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",2 Beds,2 Beds,40 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Balcony or Terrace##View##Electricity Backup##Elevators in Building##: 1##Flooring##Parking Spaces##: 1##Balcony or Terrace##Floor Level##CCTV Security##Maintenance Staff,"2,536 sqft",Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,3.15 Crore,For Sale
Parking Spaces##: 1##Floor Level##Flooring##View##Electricity Backup##Parking Spaces##: 1##Floor Level##Flooring##View##Balcony or Terrace##Elevators in Building##: 1##CCTV Security##Maintenance Staff,"2,536 sqft",Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,3.26 Crore,For Sale
Floor Level##Parking Spaces##: 1##Flooring##View##Elevators in Building##: 1##24 Hours Concierge##Floor Level##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Electricity Backup##Broadband Internet##CCTV Security,"1,750 sqft",Apartment,Dhaka,3 Beds,3 Beds,77 Lakh,For Sale
Balcony or Terrace##Flooring##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Electricity Backup##Flooring##Parking Spaces##: 1##Lobby in Building##Waste Disposal##Floor Level##View##Elevators in Building##: 1##Broadband Internet##CCTV Security##Cleaning Services,"1,630 sqft",Apartment,"Block I, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,90 Lakh,For Sale
Flooring##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Waste Disposal##Flooring##Elevators in Building##: 1##Balcony or Terrace##Electricity Backup##Lobby in Building##Parking Spaces##: 1##Floor Level##View##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,385 sqft",Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,48.48 Lakh,For Sale
Balcony or Terrace##View##Parking Spaces##: 1##Flooring##Balcony or Terrace##Electricity Backup##Waste Disposal##Freehold##View##Elevators in Building##: 1##Parking Spaces##: 1##Lobby in Building##Flooring##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,"1,506 sqft",Apartment,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,80 Lakh,For Sale
Parking Spaces##: 1##Floor Level##View##Flooring##Parking Spaces##: 1##Floor Level##Double Glazed Windows##Freehold##View##Electricity Backup##Flooring##Elevators in Building##: 2##Service Elevators##Furnished##Balcony or Terrace##Lobby in Building##Waste Disposal##Storage Areas##Prayer Room##Broadband Internet##Conference Room##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,553 sqft",Apartment,"Block D, Section 15, Mirpur, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
Parking Spaces##: 1##View##Flooring##Balcony or Terrace##Waste Disposal##Freehold##Parking Spaces##: 1##View##Flooring##24 Hours Concierge##Lobby in Building##Electricity Backup##Balcony or Terrace##Elevators in Building##: 1##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,175 sqft",Apartment,"Section 10, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##24 Hours Concierge##Electricity Backup##View##Balcony or Terrace##Elevators in Building##: 1##Freehold##Lobby in Building##Flooring##Parking Spaces##: 1##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,600 sqft",Apartment,"East Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,72 Lakh,For Sale
View##Flooring##Parking Spaces##: 1##Floor Level##Waste Disposal##View##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Freehold##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Balcony or Terrace##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,630 sqft",Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,81.5 Lakh,For Sale
Parking Spaces##: 1##Flooring##Floor Level##View##Parking Spaces##: 1##Flooring##Lobby in Building##24 Hours Concierge##Floor Level##Freehold##Waste Disposal##View##Balcony or Terrace##Electricity Backup##Elevators in Building##: 1##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,340 sqft",Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,80.4 Lakh,For Sale
Floor Level##Flooring##Balcony or Terrace##View##Freehold##Floor Level##Elevators in Building##: 1##Waste Disposal##Flooring##24 Hours Concierge##Balcony or Terrace##Lobby in Building##View##Electricity Backup##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,875 sqft,Apartment,"Mirpur, Dhaka",2 Beds,2 Beds,52.5 Lakh,For Sale
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Waste Disposal##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level##Electricity Backup##24 Hours Concierge##View##Balcony or Terrace##Lobby in Building##Flooring##Freehold##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,350 sqft",Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh,For Sale
Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Parking Spaces##: 1##24 Hours Concierge##Electricity Backup##Waste Disposal##Flooring##Lobby in Building##View##Balcony or Terrace##Elevators in Building##: 1##Freehold##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,350 sqft",Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh,For Sale
View##Floor Level##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##View##Electricity Backup##Floor Level##Balcony or Terrace##Parking Spaces##: 1##Waste Disposal##Flooring##Elevators in Building##: 1##Broadband Internet##CCTV Security##Cleaning Services,850 sqft,Apartment,"Sholokbahar, Chattogram",3 Beds,3 Beds,40 Lakh,For Sale
Floor Level##View##Parking Spaces##: 1##Balcony or Terrace##Floor Level##Double Glazed Windows##View##Electricity Backup##24 Hours Concierge##Parking Spaces##: 1##Balcony or Terrace##Lobby in Building##Flooring##Elevators in Building##: 1##Broadband Internet##Lawn or Garden##CCTV Security##Maintenance Staff##Cleaning Services,"1,300 sqft",Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
Flooring##Furnished##Floor Level##View##Central Heating##Flooring##Electricity Backup##Waste Disposal##Service Elevators##Furnished##24 Hours Concierge##Floor Level##Elevators in Building##: 1##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Freehold##Parking Spaces##: 1##Prayer Room##Broadband Internet##Business Center##Conference Room##Barbeque Area##Day Care Center##CCTV Security##Cafeteria or Canteen##Maintenance Staff##Cleaning Services,820 sqft,Apartment,"Tejkunipara, Tejgaon, Dhaka",2 Beds,2 Beds,60 Lakh,For Sale
View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Elevators in Building##: 1##View##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##Freehold##24 Hours Concierge##Floor Level##Electricity Backup##Waste Disposal##Flooring##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,300 sqft",Apartment,"Block B, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,85 Lakh,For Sale
Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##24 Hours Concierge##View##Waste Disposal##Freehold##Floor Level##Lobby in Building##Electricity Backup##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,300 sqft",Apartment,"Block B, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,85 Lakh,For Sale
