address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road 120, 3 bedroom flat rent in Gulshan/ Banani, Apartment rent in Dhaka, Flat rent in Bangladesh, Gulshan, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", West,,,03 Bathrooms,03 Bedrooms, North facing, Residential, 150 Sq Ft,"Dryer,Generator Backup,Good Location,Laundry,Lawn,Microwave,Refrigerator,Road side view,TV Cable,Washer,WiFi,Window Coverings",4th, 50 Ft,150 Sq Ft, Govt. Gas, Basic Rules, Furnished,01 available, Gulshan 1 Circle,"
",," BDT 110,000", Residential,https://rents.com.bd/property/affordable-budget-friendly-furnished-apartment-now-available-for-rent-in-gulshan/,For Rent, N/A, N/A, BDT 10000,1700 Sq Ft/ 158 Sq. Meter,Affordable & Budget Friendly Furnished Apartment Now Available For Rent In Gulshan, 30,, 03,2010
"Road 09, Apartment rent in Dhaka, Flat rent in Bangladesh, Furnished Apartment Rent in Baridhara Diplomatic Zone, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Residential, Dhaka", West, 03,,05 Bathrooms,04 Bedrooms, North, Residential, 150 Sq Ft,"Barbeque,Dedicated Electricity Line,Dryer,Full load generator,Generator Backup,Good Location,Green Area Availability,Gym,Microwave,Open Space,Outdoor Shower,Provision for VRF system AC,Refrigerator,Road side view,Swimming Pool,TV Cable,Washer,WiFi,Window Coverings",, 15 Ft,350 Sq Ft, Govt. Gas, Basic Rules, Furnished,02 available, Road 09,"
",," BDT 340,000", Residential,https://rents.com.bd/property/swimming-pool-facilized-luxury-furnished-house-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, Including Rent,3500 Sq Ft/ 326 Square Meter,Swimming Pool Facilized Luxury Furnished House for rent in Baridhara Diplomatic zone, 24,, 02,2017
"Road 26, 4 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Bd property rents, Flat rent in Banani, Flat rent in Bangladesh, Home rent in dhaka, House Rent in Bangladesh, Residential, Dhaka", West Face, 04,,05 Bathrooms,04 Bedrooms, West, Residential, 350 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,Simplex Flat,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,02 available, Banani Road 27,"
",," BDT 110,000", Residential,https://rents.com.bd/property/04-bedroom-ready-flat-now-available-for-rent-in-banani-area/,For Rent, 01, 01," BDT 10,000",2650 Sq Ft/ 247 Sq. Meter,04 Bedroom Ready Flat Now Available For Rent In Banani Area, 18,, 01,2019
"Road 10, Apartment rent in Dhaka, Flat rent in Bangladesh, Furnished Apartment Rent in Baridhara Diplomatic Zone, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Residential, Dhaka", West, 03,,05 Bathrooms,04 Bedrooms, North, Residential, 750 Sq Ft,"Barbeque,Dedicated Electricity Line,Dryer,Full load generator,Generator Backup,Good Location,Green Area Availability,Gym,Microwave,Open Space,Outdoor Shower,Provision for VRF system AC,Refrigerator,Road side view,TV Cable,Washer,WiFi,Window Coverings",, 15 Ft,350 Sq Ft, Govt. Gas, Basic Rules, Furnished,02 available, Road 09,"
",," BDT 300,000", Residential,https://rents.com.bd/property/stunning-4-bedroom-furnished-apartment-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 25,000",4600 Sq Ft/ 428 Square Meter,Stunning 4 Bedroom Furnished Apartment for rent in Baridhara Diplomatic zone, 05,, 01,2020
"Road 06, Banani, Bd property rents, Commercial space for rent in Dhaka [Easy Guideline], Dhaka",,, N/A,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Generator Backup,Good Location,Microwave,Refrigerator,Residential cum commercial building,Road side view,TV Cable,WiFi",4th floor , 20 Ft,150 Sq Ft,,, Furnished,01 available, Banani 11,"
",," BDT 120,000",Residential cum commercial,https://rents.com.bd/property/1400-sq-ft-furnished-office-space-now-available-for-rent-in-banani-area/,For Rent,,, At Actual,1400 Sq Ft/ 130 Sq. Meter,1400 Sq Ft Furnished Office Space Now Available For Rent In Banani Area, 05 Units,, 02,2010
"Road 26, 3 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Flat rent in Banani, Flat rent in Bangladesh, Home rent in dhaka, House Rent in Bangladesh, Residential, Dhaka", West Face, 03,,03 Bathrooms,03 Bedrooms, West, Residential, 350 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Road side view,TV Cable,WiFi",, 15 Ft,350 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,02 available, Banani Road 27,"
",," BDT 120,000", Residential ,https://rents.com.bd/property/brand-new-03-bedroom-flat-available-for-rent-in-banani/,For Rent, 01, 01," BDT 12,000",2400 Sq Ft/ 223 Sq. Meter,Brand New 03 Bedroom Flat Available For Rent In Banani, 18,, 02,2021
"Road 96, 4 bedroom flat rent in Gulshan/ Banani, Bd property rents, Flat rent in Bangladesh, Gulshan, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", West,,,04 Bathrooms,04 Bedrooms, West Facing, Residential, 650 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Double glazed curtain glass in front side,Generator Backup,Good Location,Green Area Availability,Road side view,TV Cable,WiFi,Window Coverings",4th & 6th Floor Available, 20 Ft,350 Sq Ft, Govt. Connection, Basic Rules, Unfurnished,02 available, Hotel Six Season,"
",," BDT 220,000/ USD 2558", Residential,https://rents.com.bd/property/4-bedroom-nicely-maintained-apartment-to-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01," BDT 15,000",3715 Sq Ft/ 346 Sq. Meter,4 Bedroom Nicely Maintained Apartment To Rent In Gulshan With Satisfactory Price, 12,, 02,2016
"Road 03, 3 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Flat rent in Banani, Flat rent in Bangladesh, Home rent in dhaka, House Rent in Bangladesh, Residential, Dhaka", East, 03,,03 Bathrooms,03 Bedrooms, East, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available," Kemal Ataturk, Banani","
",," BDT 105,000", Residential,https://rents.com.bd/property/banani-is-offering-you-a-2500-sq-ft-flat-for-rent/,For Rent, 01, 01," BDT 12,000",2500 Sq Ft/ 233 Sq. Meter,Banani Is Offering You A 2500 Sq Ft Flat For Rent, 18,, 02,2014
"Road 113, 3 bedroom flat rent in Gulshan/ Banani, Apartment rent in Dhaka, Flat rent in Bangladesh, Gulshan, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", West,,,03 Bathrooms,03 Bedrooms, North facing, Residential, 150 Sq Ft,"Dedicated Electricity Line,Dryer,Full load generator,Generator Backup,Good Location,Gym,Laundry,Lawn,Microwave,Refrigerator,Road side view,Swimming Pool,TV Cable,Washer,WiFi,Window Coverings",11th, 50 Ft,150 Sq Ft, Govt. Gas, Basic Rules, Furnished,02 available, Gulshan Avenue,"
",, BDT 185000, Residential,https://rents.com.bd/property/exclusive-luxurious-furnished-apartment-now-available-for-rent-in-gulshan/,For Rent, N/A, N/A, BDT 15000,2250 Sq Ft/ 209 Sq. Meter,Exclusive Luxurious Furnished Apartment Now Available For Rent In Gulshan, 30,, 02,2020
"Road 41, 3 bedroom flat rent in Gulshan/ Banani, Gulshan, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", East,,,03 Bathrooms,03 Bedrooms, East, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Double glazed curtain glass in front side,Dryer,Generator Backup,Good Location,Green Area Availability,Microwave,Refrigerator,Road side view,TV Cable,Washer,WiFi,Window Coverings",3rd floor, 40 Ft,150 Sq Ft, Govt. Connection, Basic Rules, Fully-Furnished,01 available, Hotel Amari Dhaka,"
",, BDT 120000 (negotiable), Residential ,https://rents.com.bd/property/well-decorated-fully-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, N/A, 01, BDT 7000,2700 Sq Ft/ 251 Sq. Meter,Well Decorated Fully Furnished Apartment Is Up For Rent In Gulshan, 20,, 04,2002
"Park Road, Apartment rent in Dhaka, Furnished Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", West, 03,,06 Bathrooms,05 Bedrooms, North, Residential, 150 Sq Ft,"Barbeque,Dedicated Electricity Line,Dryer,Generator Backup,Good Location,Green Area Availability,Open Space,Outdoor Shower,Refrigerator,TV Cable,Washer,WiFi,Window Coverings",, 15 Ft,150 Sq Ft, Govt. Gas, Basic Rules, Furnished,01 available, Park Road,"
",," BDT 350,000", Residential,https://rents.com.bd/property/5000-sq-ft-luxury-duplex-furnished-house-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, Including Rent,5000 Sq Ft/ 465 Square Meter,5000 Sq Ft Luxury Duplex Furnished House for rent in Baridhara Diplomatic zone, 07,, 01,2014
"Road 18, 4 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Flat rent in Banani, Flat rent in Bangladesh, Home rent in dhaka, House Rent in Bangladesh, Residential, Dhaka", East, 02,,04 Bathrooms,04 Bedrooms, East, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,350 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,02 available," Kemal Ataturk, Banani","
",," BDT 90,000", Residential ,https://rents.com.bd/property/nicely-decorated-2200-sq-ft-04-bedroom-flat-is-up-for-rent-in-banani/,For Rent, 01, 01," BDT 10,000",2200 Sq Ft/ 205 Sq. Meter,Nicely Decorated 2200 Sq Ft 04 Bedroom Flat Is Up For Rent In Banani, 18,, 02,2019
"Road 34, 3 bedroom flat rent in Gulshan/ Banani, Flat rent in Bangladesh, Gulshan, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", East-West,,,03 Bathrooms,03 Bedrooms, East Facing, Residential, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Double glazed curtain glass in front side,Generator Backup,Good Location,Green Area Availability,Road side view,TV Cable,WiFi,Window Coverings",2nd, 20 Ft,150 Sq Ft, Govt. Connection, Basic Rules, Semi-Unfurnished,02 available, Gulshan Avenue,"
",," BDT 100,000/-", Residential,https://rents.com.bd/property/rarely-available-a-2500-sq-ft-flat-to-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01," BDT 10,000",2500 Sq Ft/ 233 Sq. Meter,Rarely Available A 2500 Sq Ft Flat To Rent In Gulshan With Satisfactory Price, 12,, 03,2010
"Road 37, 4 bedroom flat rent in Gulshan/ Banani, Flat rent in Bangladesh, Gulshan, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", East-West,,,05 Bathrooms,05 Bedrooms, East Facing, Residential, 450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Central Water Treatment Plan,Dedicated Electricity Line,Double glazed curtain glass in front side,Dryer,Full load generator,Generator Backup,Good Location,Green Area Availability,Gym,Road side view,Simplex Flat,Swimming Pool,TV Cable,WiFi,Window Coverings",1st Floor & 2nd Floor Available, 20 Ft,350 Sq Ft, Govt. Connection, Basic Rules, Semi-Unfurnished,02 available, Gulshan Avenue,"
",," BDT 250,000/ USD 2941", Residential,https://rents.com.bd/property/swimming-pool-facilized-4500-sq-ft-luxury-house-for-rent-in-gulshan/,For Rent, 01, 01, At Actual,4500 Sq Ft/ 419 Sq. Meter,Swimming Pool Facilized 4500 Sq Ft Luxury House For Rent In Gulshan, 12,, 01,2018
"Road 25, 3 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Flat rent in Banani, Flat rent in Bangladesh, Furnished Apartment Rent in Banani, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Residential, Dhaka", North Face, 04,,03 Bathrooms,03 Bedrooms, North Face, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Full load generator,Generator Backup,Good Location,Laundry,Microwave,Refrigerator,Road side view,TV Cable,Washer,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Furnished,01 available, Banani Road 25,"
",," BDT 105,000", Residential,https://rents.com.bd/property/beautiful-3-bedroom-furnished-home-now-available-for-rent-in-banani-area/,For Rent, 01, 01," BDT 10,000",2300 Sq Ft/ 214 Sq. Meter,Beautiful 3 Bedroom Furnished Home Now Available for Rent In Banani Area, 18,, 02,2017
"Road 03, 3 bedroom flat rent in Gulshan/ Banani, Apartment Rent in Banani, Apartment rent in Dhaka, Flat rent in Banani, Flat rent in Bangladesh, Home rent in dhaka, House Rent in Bangladesh, Residential, Dhaka", East, 02,,04 Bathrooms,03 Bedrooms, East, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,02 available," Kemal Ataturk, Banani","
",," BDT 100,000", Residential,https://rents.com.bd/property/affordable-03-bedroom-flat-is-up-for-rent-in-banani-area/,For Rent, 01, 01, At Actual,1900 Sq Ft/ 177 Sq. Meter,Affordable 03 Bedroom Flat Is Up For Rent In Banani Area, 18,, 02,2014
"Road 32, 3 bedroom flat rent in Gulshan/ Banani, Flat rent in Bangladesh, Gulshan, Home rent in dhaka, House Rent in Bangladesh, Luxury apartment rent in Dhaka [Everything you need to know], Dhaka", East-West,,,03 Bathrooms,03 Bedrooms, East Facing, Residential, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Double glazed curtain glass in front side,Generator Backup,Good Location,Green Area Availability,Road side view,TV Cable,WiFi,Window Coverings",2nd, 20 Ft,150 Sq Ft, Govt. Connection, Basic Rules, Semi-Unfurnished,02 available, Gulshan Avenue,"
",," BDT 100,000/-", Residential,https://rents.com.bd/property/well-maintained-2000-sq-ft-flat-to-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01," BDT 10,000",2000 Sq Ft/ 186 Sq. Meter,Well Maintained 2000 Sq Ft Flat To Rent In Gulshan With Satisfactory Price, 12,, 03,2010
"Road 15, Banani, Dhaka",,, N/A,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",2nd floor , 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 11,"
",," BDT 150,000",Residential cum commercial,https://rents.com.bd/property/2600-sq-ft-well-maintained-office-space-now-available-for-rent-in-banani/,For Rent,,," BDT 10,000",2600 Sq Ft/ 242 Sq. Meter,2600 Sq Ft Well Maintained Office Space Now Available For Rent In Banani, 08 Units,, 01,2016
"Road 16, Banani, Dhaka",,, N/A,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",1st floor , 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 16,"
",," BDT 100,000",Residential cum commercial,https://rents.com.bd/property/1600-sq-ft-small-size-office-space-now-available-for-rent-in-banani-area/,For Rent,,, At Actual,1600 Sq Ft/ 149 Sq. Meter,1600 Sq Ft Small Size Office Space Now Available For Rent In Banani Area, 08 Units,, 01,2010
"Road 12, Apartment Rent in Banani, Residential, Dhaka", West, 02,,04 Bathrooms,03 Bedrooms, West, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 12,"
",," BDT 85,000", Residential ,https://rents.com.bd/property/well-maintained-2400-sq-ft-house-in-banani-now-available-for-rent/,For Rent, 01, 01, BDT 10000,2400 Sq Ft/ 223 Sq. Meter,"Well Maintained 2400 Sq Ft House In Banani, Now Available For Rent", 18,, 01,2018
"Road 05, Apartment Rent in Banani, Residential, Dhaka", West, 03,,03 Bathrooms,03 Bedrooms, West, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 05,"
",," BDT 100,000", Residential,https://rents.com.bd/property/your-desirable-cozy-house-is-for-rent-in-banani-with-satisfactory-price-2/,For Rent, 01, 01, BDT 10000,1800 Sq Ft/ 167 Sq. Meter,Your Desirable Cozy House Is For Rent In Banani With Satisfactory Price, 20,, 02,2018
"Road 09, Apartment Rent in Banani, Residential, Dhaka", West, 02,,04 Bathrooms,03 Bedrooms, West, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 09,"
",," BDT 100,000", Residential,https://rents.com.bd/property/get-this-2100-sq-ft-wonderful-flat-in-banani-is-available-for-rent/,For Rent, 01, 01, BDT 9000,2100 Sq Ft/ 195 Sq. Meter,"Get This 2100 Sq Ft Wonderful Flat In Banani, Is Available For Rent", 18,, 02,2017
"Road 12, Apartment Rent in Banani, Furnished Apartment Rent in Banani, Residential, Dhaka", South Face, 02,,03 Bathrooms,03 Bedrooms, South Face, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Full load generator,Generator Backup,Good Location,Laundry,Microwave,Refrigerator,Road side view,TV Cable,Washer,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Furnished,01 available, Banani Road 12,"
",," BDT 90,000", Residential ,https://rents.com.bd/property/stunning-furnished-home-in-the-prestigious-community-of-banani-is-up-for-rent/,For Rent, 01, 01, BDT 10000,2400 Sq Ft/ 223 Sq. Meter,"Stunning Furnished Home In The Prestigious Community Of Banani, Is Up For Rent", 18,, 02,2017
"Road 35, Gulshan, Dhaka", East,,,03 Bathrooms,03 Bedrooms, East, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Double glazed curtain glass in front side,Dryer,Generator Backup,Good Location,Green Area Availability,Microwave,Refrigerator,Road side view,TV Cable,Washer,WiFi,Window Coverings",3rd floor available, 40 Ft,150 Sq Ft, Govt. Connection, Basic Rules, Semi-Furnished,01 available, Gulshan Central Mosque,"
",, BDT 70000, Residential ,https://rents.com.bd/property/nicely-decorated-semi-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, N/A, 01, BDT 8000,2000 Sq Ft/ 186 Sq. Meter,Nicely Decorated Semi Furnished Apartment Is Up For Rent In Gulshan, 20,, 02,2015
"Road 17, Banani, Dhaka",,, N/A,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",6th floor , 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 12,"
",," BDT 150,000",Residential cum commercial,https://rents.com.bd/property/2500-sq-ft-nicely-decorated-office-space-now-available-for-rent-in-banani/,For Rent,,," BDT 10,000",2500 Sq Ft/ 233 Sq. Meter,2500 Sq Ft Nicely Decorated Office Space Now Available For Rent In Banani, 08 Units,, 01,2017
"Road 11, Apartment Rent in Banani, Residential, Dhaka", West, 02,,03 Bathrooms,03 Bedrooms, West, Residential, 200 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 11,"
",," BDT 75,000", Residential ,https://rents.com.bd/property/quality-finishing-a-2250-sq-ft-ready-house-is-up-for-rent-in-banani/,For Rent, 01, 01, BDT 7000,2250 Sq Ft/ 209 Sq. Meter,Quality Finishing A 2250 Sq Ft Ready House Is Up For Rent In Banani, 18,, 02,2015
"Road 84, 4 bedroom flat rent in Gulshan/ Banani, Gulshan, House Rent in Bangladesh, Dhaka", East-West,,,04 Bathrooms,04 Bedrooms, East Facing, Residential, 350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Central Water Treatment Plan,Dedicated Electricity Line,Double glazed curtain glass in front side,Dryer,Full load generator,Good Location,Green Area Availability,Gym,Road side view,Simplex Flat,TV Cable,WiFi,Window Coverings","1st Floor, 5th Floor & 7th Floor Available", 20 Ft,350 Sq Ft, Govt. Connection, Basic Rules, Unfurnished,02 available, North Gulshan,"
",," BDT 350,000/ USD 4117", Residential,https://rents.com.bd/property/brand-new-simplex-3200-sq-ft-size-house-available-for-rent-in-north-gulshan/,For Rent, 01, 01, At Actual,3200 Sq Ft/ 298 Sq. Meter,Brand New Simplex 3200 Sq Ft Size House Available For Rent In North Gulshan, 12,, 01,2021
"Road 15, Banani, Dhaka",,, N/A,,, West facing corner plot, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",7th floor , 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 11,"
",," BDT 110,000",Residential cum commercial,https://rents.com.bd/property/affordable-2200-sq-ft-office-space-available-for-rent-in-banani-area-near-road-15/,For Rent,,, At Actual,2200 Sq Ft/ 205 Sq. Meter,Affordable 2200 Sq Ft Office Space Available For Rent In Banani Area Near Road 15, 08 Units,, 01,2017
"Road 07, Furnished Apartment Rent in Banani, Residential, Dhaka", South, 03,,04 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"Barbeque,Dryer,Generator Backup,Good Location,Laundry,Microwave,Outdoor Shower,Refrigerator,Road side view,TV Cable,Washer,WiFi,Window Coverings",, 25 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Furnished,02 available, Banani Club,"
	",," BDT 100,000", Residential ,https://rents.com.bd/property/well-maintained-03-bedrooms-fully-furnished-apartment-is-up-for-rent-in-banani/,For Rent, N/A, N/A, BDT 8000,2700 Sq Ft/ 251 Sq. Meter,Well Maintained 03 Bedrooms Fully Furnished Apartment Is Up For Rent in Banani, 20,, 02,2011
"Road 14, Apartment Rent in Banani, Residential, Dhaka", North, 03,,03 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 14,"
",," BDT 100,000", Residential,https://rents.com.bd/property/1850-sq-ft-cozy-house-is-for-rent-in-banani-with-satisfactory-price/,For Rent, 01, 01, BDT 8000,1850 Sq Ft/ 172 Sq. Meter,1850 Sq Ft Cozy House Is For Rent In Banani With Satisfactory Price, 10,, 01,2019
"Road 06, Apartment Rent in Banani, Furnished Apartment Rent in Banani, Residential, Dhaka", North, 01,,03 Bathrooms,02 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",, 15 Ft,150 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01, Banani Road 06,"
",," BDT 100,000", Residential,https://rents.com.bd/property/comfy-residential-place-is-for-rent-in-banani-with-satisfactory-price-2/,For Rent, 01, 01, BDT 6000,1600 Sq Ft/ 149 Sq. Meter,Comfy Residential Place Is For Rent In Banani With Satisfactory Price, 02,, 02,2009
"Road 08, Banani, Dhaka",,, N/A,,, South Facing, Residential, 100 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",2nd floor, 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 11,"
",," BDT 100,000",Residential cum commercial,https://rents.com.bd/property/1650-sq-ft-well-fited-office-space-available-for-rent-in-banani/,For Rent,,, At Actual,1650 Sq Ft/ 153 Sq. Meter,1650 Sq Ft Well Fited Office Space Available For Rent In Banani, 08 Units,, 02,2008
"Road 17, Banani, Dhaka",,, N/A,,, South Facing, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Residential cum commercial building,Road side view,TV Cable,WiFi",2nd floor , 20 Ft,150 Sq Ft,,, Un-Furnished,01 available, Banani 11,"
",," BDT 120,000",Residential cum commercial,https://rents.com.bd/property/2450-sq-ft-well-maintained-office-space-now-available-for-rent-in-banani/,For Rent,,," BDT 10,000",2450 Sq Ft/ 228 Sq. Meter,2450 Sq Ft Well Maintained Office Space Now Available For Rent In Banani, 08 Units,, 01,2013
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", West, 14,,21 Bathrooms,21 Bedrooms, North facing, Residential, 550 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Barbeque,Baridhara Park,Good Location,Green Area Availability,Open Space,Road side view,Simplex Flat,TV Cable,Washer,WiFi,Window Coverings",, 20 Ft,1050 Sq Ft, Govt. Line, Basic Rules, Unfurnished,01 available, United Nation Road,"
",," BDT 14,00,000", Residential ,https://rents.com.bd/property/14000-sq-ft-in-full-building-available-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, At Actual,16800 Sq Ft/ 1562 Sq. Meter,"14,000 Sq Ft In Full Building Available For Rent In Baridhara Diplomatic Zone", 08,, Simplex,2021
"Road 02, Apartment Rent in Banani, Commercial, Office Space Rent in Banani, Residential, Dhaka", North, 02,,05 Bathrooms,08 Bedrooms, North, Residential, 350 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",, 15 Ft,750 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,No, Banani Road 02,"
",," BDT 800,000", Residential ,https://rents.com.bd/property/9000-sq-ft-independent-house-available-for-rent-in-banani-with-satisfactory-price/,For Rent, 01, 01, At Actual,9000 Sq Ft/ 837 Sq. Meter,9000 Sq Ft Independent House Available For Rent In Banani With Satisfactory Price, 03,, 01,2010
"Road 18, Apartment Rent in Banani, Residential, Dhaka", North, 03,,04 Bathrooms,04 Bedrooms, North, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Road side view,TV Cable,WiFi",, 15 Ft,350 Sq Ft, Govt. Gas," Basic, Residential Rules", Unfurnished,01 available, Banani Road 18,"
",," BDT 90,000", Residential ,https://rents.com.bd/property/04-bedroom-apartment-for-rent-in-banani-area-with-satisfactory-price/,For Rent, 01, 01, BDT 12000,3500 Sq Ft/ 326 Sq. Meter,04 Bedroom Apartment For Rent In Banani Area With Satisfactory Price, 10,, 01,2012
